class,comment,date,difficultyRatingRounded,qualityRating,thumbsDownTotal,thumbsUpTotal,professor,department,avgRating
STAT30301,"Overhated imo, boring lectures and tests are hard but lots of extra credit and I got a decent grade without taking any stats classes in high school. Just give an average amount of effort and you'll be fine. I  just gave a 5 to cancel out all the 1's lol realistically I'd say 3",2026-07-14 01:40:17 +0000 UTC,3,5,0,0,Pam Porterfield,Statistics,1.5
STAT30301,"Honestly, I never went to any lectures and I got a B in the class. Just do the exam reviews and you'll be alright. Not a bad class just horribly organized.",2026-07-01 14:28:11 +0000 UTC,3,2,0,0,Pam Porterfield,Statistics,1.5
STAT30301,"She makes it very hard to take this as an online class. Made us buy a spearate keyboard for the exams, timings for test was 6am-6am 24 hours... 6am? why is that a thing and for a summer class why isn't a weekend long? Excel activities are so annoying She goes out of her way to make it very hard for students. if I could give a -, I would.",2026-07-01 02:47:34 +0000 UTC,5,1,0,0,Pam Porterfield,Statistics,1.5
STAT30301,"This professor makes it very hard to take this as an online class. Made us buy a spearate keyboard for the exams, timings for test was 6am-6am 24 hours... 6am? why is that a thing and for a summer class why isn't a weekend long? Excel activities are so annoying She goes out of her way to make it very hard for students. if I could give a -, I would.",2026-07-01 02:46:26 +0000 UTC,5,1,0,0,Pam Porterfield,Statistics,1.5
STAT30301,People make it seem like its impossible. Just do outside of class extra prep for exams. Take practice exam and understand each one. Not that hard tbh.,2026-06-30 20:19:45 +0000 UTC,2,2,0,1,Pam Porterfield,Statistics,1.5
STAT30301,"She is not as bad as the other reviews say. Go to lecture to get extra credit for exams, and you get a note sheet on the exams. My least favorite part of the class were the Excel activities, but you will get through them. Pay attention, and you will be fine.",2026-05-26 20:44:57 +0000 UTC,2,3,0,0,Pam Porterfield,Statistics,1.5
STAT30301,"Cant ""avoid her at all cost"" if she's the only one teaching this class. get the extra credit by attending and grind through the slide deck + review banks on your own time. The lectures are ineffective. Homeworks were tedious but doable. exams were fair. make sure to use AI if you dont understand a concept.",2026-05-24 10:40:54 +0000 UTC,3,1,0,1,Pam Porterfield,Statistics,1.5
STAT30301,Pam is a ok professor. She is over hated because the class is just hard. ,2026-05-12 18:05:50 +0000 UTC,3,3,0,0,Pam Porterfield,Statistics,1.5
STAT30301,"Whenever I brought up this course to someone who took it they always say the same thing, ""just get through it, 30305 is so much easier"". I feel that her style of teaching style in combination of TA's who don't teach but instead just give the answers on how to fill out the excel activity with the right answers, makes learning the subject all on you.",2026-05-08 00:17:46 +0000 UTC,5,1,0,0,Pam Porterfield,Statistics,1.5
STAT30301,"A quote from the Professor, ""I purposefully make the tests different from the practice problems and homework"". Who does that? Purdue needs to hire more than one teacher for STATS 30301. ",2026-05-06 20:15:56 +0000 UTC,5,1,0,0,Pam Porterfield,Statistics,1.5
STAT30301,Not a good professor.,2026-05-03 02:45:41 +0000 UTC,5,1,0,2,Pam Porterfield,Statistics,1.5
STAT30301,"Has to be the worst professor at Purdue. She could care less about her students. She intends the class to be hard, and she loves it. The exams are very hard, and the review practice she gives does not help. The fact she has not been removed from Purdue has me speechless. The day she gets fired, Purdue will become a much better campus overall.",2026-05-03 02:43:10 +0000 UTC,5,1,0,2,Pam Porterfield,Statistics,1.5
